As on Wed| Dec 06 2017| 23:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Pakistan Rupee (PKR),PKR,TWD,0.2847
Pakistan Rupee (PKR),PKR,THB,0.3095
Pakistan Rupee (PKR),PKR,TTD,0.0639
Pakistan Rupee (PKR),PKR,TND,0.0236
Pakistan Rupee (PKR),PKR,TRY,0.0365
Pakistan Rupee (PKR),PKR,VEF,0.0947
Pakistan Rupee (PKR),PKR,VND,215.6852
Pakistan Rupee (PKR),PKR,ZMK,0.0095
U.A.E Dirham (AED),AED,AUD,0.3601                        
U.A.E Dirham (AED),AED,CAD,0.3483                        
U.A.E Dirham (AED),AED,EUR,0.2307                        
U.A.E Dirham (AED),AED,JPY,30.5643                        
U.A.E Dirham (AED),AED,PKR,28.7036                        
U.A.E Dirham (AED),AED,AED,1                        
U.A.E Dirham (AED),AED,GBP,0.2035                        
U.A.E Dirham (AED),AED,USD,0.2723                        
U.A.E Dirham (AED),AED,AFN,18.768
U.A.E Dirham (AED),AED,ALL,30.8784
U.A.E Dirham (AED),AED,DZD,31.3983
U.A.E Dirham (AED),AED,ARS,4.6962
U.A.E Dirham (AED),AED,BSD,0.2723
U.A.E Dirham (AED),AED,BHD,0.1024
U.A.E Dirham (AED),AED,BDT,22.5893
U.A.E Dirham (AED),AED,BBD,0.5446
U.A.E Dirham (AED),AED,BMD,0.2723
U.A.E Dirham (AED),AED,BRL,0.8811
U.A.E Dirham (AED),AED,BGN,0.4512
U.A.E Dirham (AED),AED,XOF,151.3131
U.A.E Dirham (AED),AED,XAF,151.3131
U.A.E Dirham (AED),AED,CLP,178.0278
U.A.E Dirham (AED),AED,CNY,1.8012
U.A.E Dirham (AED),AED,COP,819.295
U.A.E Dirham (AED),AED,XPF,27.5269
U.A.E Dirham (AED),AED,CRC,154.0937
U.A.E Dirham (AED),AED,HRK,1.7409
U.A.E Dirham (AED),AED,CZK,5.9102
U.A.E Dirham (AED),AED,DKK,1.7166
U.A.E Dirham (AED),AED,DOP,13.0829
U.A.E Dirham (AED),AED,XCD,0.7352
U.A.E Dirham (AED),AED,EGP,4.8434
U.A.E Dirham (AED),AED,EEK,0.2723
U.A.E Dirham (AED),AED,FJD,0.5678
U.A.E Dirham (AED),AED,HKD,2.1274
U.A.E Dirham (AED),AED,HUF,72.4976
U.A.E Dirham (AED),AED,ISK,28.4631
U.A.E Dirham (AED),AED,XDR,0.1926
U.A.E Dirham (AED),AED,INR,17.5713
U.A.E Dirham (AED),AED,IDR,3687.1741
U.A.E Dirham (AED),AED,IRR,9612.786
U.A.E Dirham (AED),AED,IQD,325.5867
U.A.E Dirham (AED),AED,ILS,0.9574
U.A.E Dirham (AED),AED,JMD,34.1195
U.A.E Dirham (AED),AED,JOD,0.1931
U.A.E Dirham (AED),AED,KES,28.0189
U.A.E Dirham (AED),AED,KWD,0.0822
U.A.E Dirham (AED),AED,LBP,410.4833
U.A.E Dirham (AED),AED,MYR,1.1098
U.A.E Dirham (AED),AED,MUR,9.1884
U.A.E Dirham (AED),AED,MXN,5.1388
U.A.E Dirham (AED),AED,MAD,2.5722
U.A.E Dirham (AED),AED,NZD,0.3959
U.A.E Dirham (AED),AED,NOK,2.2513
U.A.E Dirham (AED),AED,OMR,0.1047
U.A.E Dirham (AED),AED,PEN,0.881
U.A.E Dirham (AED),AED,PHP,13.8126
U.A.E Dirham (AED),AED,PLN,0.9719
U.A.E Dirham (AED),AED,QAR,0.9912
U.A.E Dirham (AED),AED,RON,1.0682
U.A.E Dirham (AED),AED,RUB,16.1184
U.A.E Dirham (AED),AED,SAR,1.0211
U.A.E Dirham (AED),AED,SGD,0.3673
U.A.E Dirham (AED),AED,SKK,0.2723
U.A.E Dirham (AED),AED,ZAR,3.6821
U.A.E Dirham (AED),AED,KRW,297.7298
U.A.E Dirham (AED),AED,LKR,41.7673
U.A.E Dirham (AED),AED,SDG,1.824
U.A.E Dirham (AED),AED,SEK,2.2947
U.A.E Dirham (AED),AED,CHF,0.2695
U.A.E Dirham (AED),AED,TWD,8.1718
U.A.E Dirham (AED),AED,THB,8.8827
U.A.E Dirham (AED),AED,TTD,1.8344
U.A.E Dirham (AED),AED,TND,0.6768
U.A.E Dirham (AED),AED,TRY,1.0488
U.A.E Dirham (AED),AED,VEF,2.7195
U.A.E Dirham (AED),AED,VND,6190.9409
U.A.E Dirham (AED),AED,ZMK,0.2723
UK Pound Sterling (GBP),GBP,AUD,1.7696                        
UK Pound Sterling (GBP),GBP,CAD,1.7118                        
UK Pound Sterling (GBP),GBP,EUR,1.1337                        
UK Pound Sterling (GBP),GBP,JPY,150.2159                        
UK Pound Sterling (GBP),GBP,PKR,141.0709                        
UK Pound Sterling (GBP),GBP,AED,4.9147                        
UK Pound Sterling (GBP),GBP,GBP,1                        
UK Pound Sterling (GBP),GBP,USD,1.3383                        
UK Pound Sterling (GBP),GBP,AFN,92.2402
UK Pound Sterling (GBP),GBP,ALL,151.7594
UK Pound Sterling (GBP),GBP,DZD,154.3146
UK Pound Sterling (GBP),GBP,ARS,23.0804
UK Pound Sterling (GBP),GBP,BSD,1.3383
UK Pound Sterling (GBP),GBP,BHD,0.5032
UK Pound Sterling (GBP),GBP,BDT,111.021
UK Pound Sterling (GBP),GBP,BBD,2.6765
UK Pound Sterling (GBP),GBP,BMD,1.3383
UK Pound Sterling (GBP),GBP,BRL,4.3302
UK Pound Sterling (GBP),GBP,BGN,2.2173
UK Pound Sterling (GBP),GBP,XOF,743.6659
UK Pound Sterling (GBP),GBP,XAF,743.6659
UK Pound Sterling (GBP),GBP,CLP,874.9618
UK Pound Sterling (GBP),GBP,CNY,8.8523
UK Pound Sterling (GBP),GBP,COP,4026.6284
UK Pound Sterling (GBP),GBP,XPF,135.2877
UK Pound Sterling (GBP),GBP,CRC,757.3317
UK Pound Sterling (GBP),GBP,HRK,8.5563
UK Pound Sterling (GBP),GBP,CZK,29.047
UK Pound Sterling (GBP),GBP,DKK,8.4367
UK Pound Sterling (GBP),GBP,DOP,64.2994
UK Pound Sterling (GBP),GBP,XCD,3.6133
UK Pound Sterling (GBP),GBP,EGP,23.8043
UK Pound Sterling (GBP),GBP,EEK,1.3383
UK Pound Sterling (GBP),GBP,FJD,2.7907
UK Pound Sterling (GBP),GBP,HKD,10.4558
UK Pound Sterling (GBP),GBP,HUF,356.3072
UK Pound Sterling (GBP),GBP,ISK,139.889
