As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Euro (EUR),EUR,TWD,35.0686
Euro (EUR),EUR,THB,38.6065
Euro (EUR),EUR,TTD,7.7913
Euro (EUR),EUR,TND,2.9034
Euro (EUR),EUR,TRY,4.5176
Euro (EUR),EUR,VEF,12.8024
Euro (EUR),EUR,VND,26349.3822
Euro (EUR),EUR,ZMK,1.1614
Japanese Yen (JPY),JPY,AUD,0.0115                        
Japanese Yen (JPY),JPY,CAD,0.0112                        
Japanese Yen (JPY),JPY,EUR,0.0076                        
Japanese Yen (JPY),JPY,JPY,1                        
Japanese Yen (JPY),JPY,PKR,0.924                        
Japanese Yen (JPY),JPY,AED,0.0322                        
Japanese Yen (JPY),JPY,GBP,0.0067                        
Japanese Yen (JPY),JPY,USD,0.0088                        
Japanese Yen (JPY),JPY,AFN,0.5995
Japanese Yen (JPY),JPY,ALL,1.0076
Japanese Yen (JPY),JPY,DZD,1.0176
Japanese Yen (JPY),JPY,ARS,0.1546
Japanese Yen (JPY),JPY,BSD,0.0088
Japanese Yen (JPY),JPY,BHD,0.0033
Japanese Yen (JPY),JPY,BDT,0.7272
Japanese Yen (JPY),JPY,BBD,0.0175
Japanese Yen (JPY),JPY,BMD,0.0088
Japanese Yen (JPY),JPY,BRL,0.0291
Japanese Yen (JPY),JPY,BGN,0.0147
Japanese Yen (JPY),JPY,XOF,4.9527
Japanese Yen (JPY),JPY,XAF,4.9527
Japanese Yen (JPY),JPY,CLP,5.5637
Japanese Yen (JPY),JPY,CNY,0.0582
Japanese Yen (JPY),JPY,COP,26.6131
Japanese Yen (JPY),JPY,XPF,0.901
Japanese Yen (JPY),JPY,CRC,5.0044
Japanese Yen (JPY),JPY,HRK,0.0569
Japanese Yen (JPY),JPY,CZK,0.1938
Japanese Yen (JPY),JPY,DKK,0.0562
Japanese Yen (JPY),JPY,DOP,0.4139
Japanese Yen (JPY),JPY,XCD,0.0237
Japanese Yen (JPY),JPY,EGP,0.1548
Japanese Yen (JPY),JPY,EEK,0.0088
Japanese Yen (JPY),JPY,FJD,0.0184
Japanese Yen (JPY),JPY,HKD,0.0684
Japanese Yen (JPY),JPY,HUF,2.3579
Japanese Yen (JPY),JPY,ISK,0.9325
Japanese Yen (JPY),JPY,XDR,0.0062
Japanese Yen (JPY),JPY,INR,0.5661
Japanese Yen (JPY),JPY,IDR,118.3613
Japanese Yen (JPY),JPY,IRR,306.5866
Japanese Yen (JPY),JPY,IQD,10.2284
Japanese Yen (JPY),JPY,ILS,0.0308
Japanese Yen (JPY),JPY,JMD,1.1082
Japanese Yen (JPY),JPY,JOD,0.0062
Japanese Yen (JPY),JPY,KES,0.9102
Japanese Yen (JPY),JPY,KWD,0.0027
Japanese Yen (JPY),JPY,LBP,13.2254
Japanese Yen (JPY),JPY,MYR,0.0371
Japanese Yen (JPY),JPY,MUR,0.304
Japanese Yen (JPY),JPY,MXN,0.169
Japanese Yen (JPY),JPY,MAD,0.0835
