As on Wed| Dec 06 2017| 22:45 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Japanese Yen (JPY),JPY,ALL,1.0102
Japanese Yen (JPY),JPY,DZD,1.0271
Japanese Yen (JPY),JPY,ARS,0.1536
Japanese Yen (JPY),JPY,BSD,0.0089
Japanese Yen (JPY),JPY,BHD,0.0033
Japanese Yen (JPY),JPY,BDT,0.7391
Japanese Yen (JPY),JPY,BBD,0.0178
Japanese Yen (JPY),JPY,BMD,0.0089
Japanese Yen (JPY),JPY,BRL,0.0288
Japanese Yen (JPY),JPY,BGN,0.0148
Japanese Yen (JPY),JPY,XOF,4.9504
Japanese Yen (JPY),JPY,XAF,4.9504
Japanese Yen (JPY),JPY,CLP,5.8236
Japanese Yen (JPY),JPY,CNY,0.0589
Japanese Yen (JPY),JPY,COP,26.8018
Japanese Yen (JPY),JPY,XPF,0.9006
Japanese Yen (JPY),JPY,CRC,5.0403
Japanese Yen (JPY),JPY,HRK,0.0569
Japanese Yen (JPY),JPY,CZK,0.1934
Japanese Yen (JPY),JPY,DKK,0.0562
Japanese Yen (JPY),JPY,DOP,0.4281
Japanese Yen (JPY),JPY,XCD,0.024
Japanese Yen (JPY),JPY,EGP,0.1585
Japanese Yen (JPY),JPY,EEK,0.0089
Japanese Yen (JPY),JPY,FJD,0.0186
Japanese Yen (JPY),JPY,HKD,0.0696
Japanese Yen (JPY),JPY,HUF,2.3719
Japanese Yen (JPY),JPY,ISK,0.9313
Japanese Yen (JPY),JPY,XDR,0.0063
Japanese Yen (JPY),JPY,INR,0.5748
Japanese Yen (JPY),JPY,IDR,120.5649
Japanese Yen (JPY),JPY,IRR,314.4368
Japanese Yen (JPY),JPY,IQD,10.6551
Japanese Yen (JPY),JPY,ILS,0.0313
Japanese Yen (JPY),JPY,JMD,1.1178
Japanese Yen (JPY),JPY,JOD,0.0063
Japanese Yen (JPY),JPY,KES,0.9166
Japanese Yen (JPY),JPY,KWD,0.0027
Japanese Yen (JPY),JPY,LBP,13.4278
Japanese Yen (JPY),JPY,MYR,0.0363
Japanese Yen (JPY),JPY,MUR,0.3005
Japanese Yen (JPY),JPY,MXN,0.168
Japanese Yen (JPY),JPY,MAD,0.0842
Japanese Yen (JPY),JPY,NZD,0.013
Japanese Yen (JPY),JPY,NOK,0.0736
Japanese Yen (JPY),JPY,OMR,0.0034
Japanese Yen (JPY),JPY,PEN,0.0288
Japanese Yen (JPY),JPY,PHP,0.4518
Japanese Yen (JPY),JPY,PLN,0.0318
Japanese Yen (JPY),JPY,QAR,0.0324
Japanese Yen (JPY),JPY,RON,0.0349
Japanese Yen (JPY),JPY,RUB,0.5273
Japanese Yen (JPY),JPY,SAR,0.0334
Japanese Yen (JPY),JPY,SGD,0.012
Japanese Yen (JPY),JPY,SKK,0.0089
Japanese Yen (JPY),JPY,ZAR,0.1204
Japanese Yen (JPY),JPY,KRW,9.7413
Japanese Yen (JPY),JPY,LKR,1.3663
Japanese Yen (JPY),JPY,SDG,0.0597
Japanese Yen (JPY),JPY,SEK,0.0751
Japanese Yen (JPY),JPY,CHF,0.0088
Japanese Yen (JPY),JPY,TWD,0.2673
Japanese Yen (JPY),JPY,THB,0.2908
Japanese Yen (JPY),JPY,TTD,0.06
Japanese Yen (JPY),JPY,TND,0.0222
Japanese Yen (JPY),JPY,TRY,0.0343
Japanese Yen (JPY),JPY,VEF,0.089
Japanese Yen (JPY),JPY,VND,202.5029
Japanese Yen (JPY),JPY,ZMK,0.0089
Pakistan Rupee (PKR),PKR,AUD,0.0125                        
Pakistan Rupee (PKR),PKR,CAD,0.0121                        
Pakistan Rupee (PKR),PKR,EUR,0.008                        
Pakistan Rupee (PKR),PKR,JPY,1.065                        
Pakistan Rupee (PKR),PKR,PKR,1                        
Pakistan Rupee (PKR),PKR,AED,0.0348                        
Pakistan Rupee (PKR),PKR,GBP,0.0071                        
Pakistan Rupee (PKR),PKR,USD,0.0095                        
Pakistan Rupee (PKR),PKR,AFN,0.6539
Pakistan Rupee (PKR),PKR,ALL,1.0758
Pakistan Rupee (PKR),PKR,DZD,1.0939
Pakistan Rupee (PKR),PKR,ARS,0.1636
Pakistan Rupee (PKR),PKR,BSD,0.0095
Pakistan Rupee (PKR),PKR,BHD,0.0036
Pakistan Rupee (PKR),PKR,BDT,0.7871
Pakistan Rupee (PKR),PKR,BBD,0.019
Pakistan Rupee (PKR),PKR,BMD,0.0095
Pakistan Rupee (PKR),PKR,BRL,0.0307
Pakistan Rupee (PKR),PKR,BGN,0.0157
Pakistan Rupee (PKR),PKR,XOF,5.2721
Pakistan Rupee (PKR),PKR,XAF,5.2721
Pakistan Rupee (PKR),PKR,CLP,6.2022
Pakistan Rupee (PKR),PKR,CNY,0.0628
Pakistan Rupee (PKR),PKR,COP,28.544
Pakistan Rupee (PKR),PKR,XPF,0.9591
Pakistan Rupee (PKR),PKR,CRC,5.3679
Pakistan Rupee (PKR),PKR,HRK,0.0606
Pakistan Rupee (PKR),PKR,CZK,0.206
Pakistan Rupee (PKR),PKR,DKK,0.0598
Pakistan Rupee (PKR),PKR,DOP,0.4559
Pakistan Rupee (PKR),PKR,XCD,0.0256
Pakistan Rupee (PKR),PKR,EGP,0.1688
Pakistan Rupee (PKR),PKR,EEK,0.0095
Pakistan Rupee (PKR),PKR,FJD,0.0198
Pakistan Rupee (PKR),PKR,HKD,0.0741
Pakistan Rupee (PKR),PKR,HUF,2.5261
Pakistan Rupee (PKR),PKR,ISK,0.9918
Pakistan Rupee (PKR),PKR,XDR,0.0067
Pakistan Rupee (PKR),PKR,INR,0.6121
Pakistan Rupee (PKR),PKR,IDR,128.4021
Pakistan Rupee (PKR),PKR,IRR,334.8763
Pakistan Rupee (PKR),PKR,IQD,11.3477
Pakistan Rupee (PKR),PKR,ILS,0.0334
Pakistan Rupee (PKR),PKR,JMD,1.1905
Pakistan Rupee (PKR),PKR,JOD,0.0067
Pakistan Rupee (PKR),PKR,KES,0.9761
Pakistan Rupee (PKR),PKR,KWD,0.0029
Pakistan Rupee (PKR),PKR,LBP,14.3007
Pakistan Rupee (PKR),PKR,MYR,0.0387
Pakistan Rupee (PKR),PKR,MUR,0.32
Pakistan Rupee (PKR),PKR,MXN,0.179
Pakistan Rupee (PKR),PKR,MAD,0.0897
Pakistan Rupee (PKR),PKR,NZD,0.0138
Pakistan Rupee (PKR),PKR,NOK,0.0784
Pakistan Rupee (PKR),PKR,OMR,0.0036
Pakistan Rupee (PKR),PKR,PEN,0.0307
Pakistan Rupee (PKR),PKR,PHP,0.4812
Pakistan Rupee (PKR),PKR,PLN,0.0339
